Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2013,Dortmund,Bundesliga,Robert Lewandowski,POL,FW,23,1988,31,29,2595,28.8,24,5,23,1,2,2,1,0.83,0.17,1.01,0.8,0.97,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2013,Valencia,La Liga,Roberto Soldado,ESP,FW,27,1985,35,33,2919,32.4,24,5,19,5,6,10,0,0.74,0.15,0.89,0.59,0.74,https://fbref.com/en/players/9d66fbe3/Roberto-Soldado
2013,Liverpool,Premier League,Luis Suárez,URU,FW,25,1987,33,33,2953,32.8,23,5,23,0,0,10,0,0.7,0.15,0.85,0.7,0.85,https://fbref.com/en/players/a6154613/Luis-Suarez
2020,Leicester City,Premier League,Jamie Vardy,ENG,FW,32,1987,35,34,3033,33.7,23,5,19,4,5,2,0,0.68,0.15,0.83,0.56,0.71,https://fbref.com/en/players/45963054/Jamie-Vardy
2018,Celta Vigo,La Liga,Iago Aspas,ESP,FW,29,1987,34,33,2936,32.6,22,5,20,2,3,9,0,0.67,0.15,0.83,0.61,0.77,https://fbref.com/en/players/7dcf86f6/Iago-Aspas
2019,Arsenal,Premier League,Pierre-Emerick Aubameyang,GAB,FW,29,1989,36,30,2726,30.3,22,5,18,4,5,0,0,0.73,0.17,0.89,0.59,0.76,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2021,Liverpool,Premier League,Mohamed Salah,EGY,FW,28,1992,37,34,3078,34.2,22,5,16,6,6,0,0,0.64,0.15,0.79,0.47,0.61,https://fbref.com/en/players/e342ad68/Mohamed-Salah
2017,RB Leipzig,Bundesliga,Timo Werner,GER,FW,20,1996,31,28,2416,26.8,21,5,19,2,2,4,0,0.78,0.19,0.97,0.71,0.89,https://fbref.com/en/players/49fe9070/Timo-Werner
2016,Bayern Munich,Bundesliga,Thomas Müller,GER,"MF,FW",25,1989,31,26,2341,26,20,5,15,5,6,4,0,0.77,0.19,0.96,0.58,0.77,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2021,Hoffenheim,Bundesliga,Andrej Kramarić,CRO,"FW,MF",29,1991,28,26,2379,26.4,20,5,15,5,5,2,0,0.76,0.19,0.95,0.57,0.76,https://fbref.com/en/players/603cb947/Andrej-Kramaric
2012,Genoa,Serie A,Rodrigo Palacio,ARG,"FW,MF",29,1982,32,32,2756,30.6,19,5,16,3,4,6,1,0.62,0.16,0.78,0.52,0.69,https://fbref.com/en/players/8d8178ac/Rodrigo-Palacio
2016,Paris S-G,Ligue 1,Edinson Cavani,URU,FW,28,1987,32,24,2309,25.7,19,5,19,0,1,3,0,0.74,0.19,0.94,0.74,0.94,https://fbref.com/en/players/527f063d/Edinson-Cavani
2018,Sampdoria,Serie A,Fabio Quagliarella,ITA,FW,34,1983,35,33,2719,30.2,19,5,12,7,8,4,0,0.63,0.17,0.79,0.4,0.56,https://fbref.com/en/players/ee4f2f3b/Fabio-Quagliarella
2010,Atlético Madrid,La Liga,Diego Forlán,URU,"FW,MF",30,1979,33,30,2550,28.3,18,5,15,3,5,1,0,0.64,0.18,0.81,0.53,0.71,https://fbref.com/en/players/d87d0dfc/Diego-Forlan
2019,Paris S-G,Ligue 1,Edinson Cavani,URU,FW,31,1987,21,20,1671,18.6,18,5,14,4,5,1,0,0.97,0.27,1.24,0.75,1.02,https://fbref.com/en/players/527f063d/Edinson-Cavani
2020,Paris S-G,Ligue 1,Kylian Mbappé,FRA,FW,20,1998,20,17,1513,16.8,18,5,18,0,0,0,0,1.07,0.3,1.37,1.07,1.37,https://fbref.com/en/players/42fd9c7f/Kylian-Mbappe
2020,Villarreal,La Liga,Gerard Moreno,ESP,"FW,MF",27,1992,35,33,2744,30.5,18,5,17,1,2,5,0,0.59,0.16,0.75,0.56,0.72,https://fbref.com/en/players/81f0781e/Gerard-Moreno
2011,Caen,Ligue 1,Youssef El-Arabi,MAR,FW,23,1987,38,36,3263,36.3,17,5,16,1,1,4,0,0.47,0.14,0.61,0.44,0.58,https://fbref.com/en/players/c63f6e46/Youssef-El-Arabi
2015,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,25,1988,31,28,2480,27.6,17,5,16,1,1,0,0,0.62,0.18,0.8,0.58,0.76,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2016,Toulouse,Ligue 1,Wissam Ben Yedder,FRA,FW,24,1990,35,34,2882,32,17,5,15,2,3,2,0,0.53,0.16,0.69,0.47,0.62,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder
2017,Manchester Utd,Premier League,Zlatan Ibrahimović,SWE,FW,34,1981,28,27,2438,27.1,17,5,15,2,3,7,0,0.63,0.18,0.81,0.55,0.74,https://fbref.com/en/players/4cde5509/Zlatan-Ibrahimovic
2019,Eint Frankfurt,Bundesliga,Luka Jović,SRB,"FW,MF",20,1997,32,25,2243,24.9,17,5,16,1,1,1,0,0.68,0.2,0.88,0.64,0.84,https://fbref.com/en/players/4d8cd038/Luka-Jovic
2010,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",25,1984,24,18,1778,19.8,16,5,14,2,2,1,0,0.81,0.25,1.06,0.71,0.96,https://fbref.com/en/players/09586899/Arjen-Robben
2012,Betis,La Liga,Rubén Castro,ESP,"FW,MF",30,1981,34,33,2950,32.8,16,5,16,0,0,5,0,0.49,0.15,0.64,0.49,0.64,https://fbref.com/en/players/d109f62b/Ruben-Castro
2013,Milan,Serie A,Stephan El Shaarawy,ITA,"FW,MF",19,1992,37,34,2825,31.4,16,5,16,0,0,3,0,0.51,0.16,0.67,0.51,0.67,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy
2013,Real Madrid,La Liga,Gonzalo Higuaín,ARG,"FW,MF",24,1987,28,19,1746,19.4,16,5,16,0,0,4,1,0.82,0.26,1.08,0.82,1.08,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain
2014,Hertha BSC,Bundesliga,Adrián Ramos,COL,FW,27,1986,32,30,2658,29.5,16,5,13,3,4,3,0,0.54,0.17,0.71,0.44,0.61,https://fbref.com/en/players/c693cf7c/Adrian-Ramos
2014,Juventus,Serie A,Fernando Llorente,ESP,FW,28,1985,34,29,2485,27.6,16,5,16,0,0,3,0,0.58,0.18,0.76,0.58,0.76,https://fbref.com/en/players/82dbf623/Fernando-Llorente
2014,Toulouse,Ligue 1,Wissam Ben Yedder,FRA,"FW,MF",22,1990,38,35,2991,33.2,16,5,14,2,3,2,0,0.48,0.15,0.63,0.42,0.57,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder
2017,Chelsea,Premier League,Eden Hazard,BEL,"FW,MF",25,1991,36,36,2982,33.1,16,5,14,2,3,3,0,0.48,0.15,0.63,0.42,0.57,https://fbref.com/en/players/a39bb753/Eden-Hazard
2018,Juventus,Serie A,Gonzalo Higuaín,ARG,FW,29,1987,35,32,2815,31.3,16,5,15,1,2,4,0,0.51,0.16,0.67,0.48,0.64,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain
2018,Nice,Ligue 1,Alassane Pléa,FRA,FW,24,1993,35,34,3041,33.8,16,5,15,1,2,6,0,0.47,0.15,0.62,0.44,0.59,https://fbref.com/en/players/bc6bd723/Alassane-Plea
2021,Lille,Ligue 1,Burak Yılmaz,TUR,FW,35,1985,28,23,2051,22.8,16,5,12,4,4,6,0,0.7,0.22,0.92,0.53,0.75,https://fbref.com/en/players/165a2e40/Burak-Yilmaz
2021,Stuttgart,Bundesliga,Sasa Kalajdzic,AUT,FW,23,1997,33,23,2136,23.7,16,5,16,0,0,1,0,0.67,0.21,0.88,0.67,0.88,https://fbref.com/en/players/15f24fe7/Sasa-Kalajdzic
2012,Schalke 04,Bundesliga,Raúl,ESP,FW,34,1977,32,32,2791,31,15,5,15,0,0,2,0,0.48,0.16,0.64,0.48,0.64,https://fbref.com/en/players/2b81295d/Raul
2013,Southampton,Premier League,Rickie Lambert,ENG,FW,30,1982,38,35,3126,34.7,15,5,12,3,3,2,0,0.43,0.14,0.58,0.35,0.49,https://fbref.com/en/players/495de82c/Rickie-Lambert
2013,Toulouse,Ligue 1,Wissam Ben Yedder,FRA,"FW,MF",21,1990,34,29,2490,27.7,15,5,15,0,0,1,0,0.54,0.18,0.72,0.54,0.72,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder
2018,Monaco,Ligue 1,Rony Lopes,POR,"FW,MF",21,1995,38,32,2531,28.1,15,5,15,0,0,2,0,0.53,0.18,0.71,0.53,0.71,https://fbref.com/en/players/7c2965bb/Rony-Lopes
2020,Atalanta,Serie A,Josip Iličić,SVN,FW,31,1988,26,21,1663,18.5,15,5,15,0,0,1,1,0.81,0.27,1.08,0.81,1.08,https://fbref.com/en/players/68252d6d/Josip-Ilicic
2010,Roma,Serie A,Francesco Totti,ITA,"FW,MF",32,1976,23,21,1798,20,14,5,9,5,5,6,0,0.7,0.25,0.95,0.45,0.7,https://fbref.com/en/players/ed75b6c7/Francesco-Totti
2011,Mainz 05,Bundesliga,André Schürrle,GER,"FW,MF",19,1990,33,26,2479,27.5,14,5,11,3,4,2,0,0.51,0.18,0.69,0.4,0.58,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2011,Milan,Serie A,Alexandre Pato,BRA,"FW,MF",20,1989,25,19,1590,17.7,14,5,14,0,0,3,0,0.79,0.28,1.08,0.79,1.08,https://fbref.com/en/players/7dd83c7d/Alexandre-Pato
2014,Montpellier,Ligue 1,Rémy Cabella,FRA,"FW,MF",23,1990,37,36,3203,35.6,14,5,11,3,4,2,0,0.39,0.14,0.53,0.31,0.45,https://fbref.com/en/players/148e136f/Remy-Cabella
2014,Sevilla,La Liga,Carlos Bacca,COL,FW,26,1986,35,27,2293,25.5,14,5,13,1,1,4,0,0.55,0.2,0.75,0.51,0.71,https://fbref.com/en/players/09a9e921/Carlos-Bacca
2014,Wolfsburg,Bundesliga,Ivica Olić,CRO,FW,33,1979,32,28,2386,26.5,14,5,14,0,0,2,0,0.53,0.19,0.72,0.53,0.72,https://fbref.com/en/players/1bb54bef/Ivica-Olic
2017,Lille,Ligue 1,Nicolas de Préville,FRA,"MF,FW",25,1991,30,23,2059,22.9,14,5,10,4,4,2,0,0.61,0.22,0.83,0.44,0.66,https://fbref.com/en/players/b0547a87/Nicolas-de-Preville
2019,Getafe,La Liga,Jorge Molina,ESP,FW,36,1982,38,28,2648,29.4,14,5,12,2,2,2,0,0.48,0.17,0.65,0.41,0.58,https://fbref.com/en/players/43f71e77/Jorge-Molina
2021,Aston Villa,Premier League,Ollie Watkins,ENG,FW,24,1995,37,37,3328,37,14,5,13,1,2,4,1,0.38,0.14,0.51,0.35,0.49,https://fbref.com/en/players/aed3a70f/Ollie-Watkins
2010,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",19,1989,34,29,2638,29.3,13,5,13,0,0,3,0,0.44,0.17,0.61,0.44,0.61,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2010,Stuttgart,Bundesliga,Cacau,GER,FW,28,1981,25,19,1740,19.3,13,5,13,0,0,8,0,0.67,0.26,0.93,0.67,0.93,https://fbref.com/en/players/5d006974/Cacau
2012,Lazio,Serie A,Miroslav Klose,GER,FW,33,1978,27,26,2282,25.4,13,5,13,0,0,1,0,0.51,0.2,0.71,0.51,0.71,https://fbref.com/en/players/5e36a0dd/Miroslav-Klose
2013,Catania,Serie A,Gonzalo Bergessio,ARG,FW,28,1984,32,32,2666,29.6,13,5,13,0,1,7,0,0.44,0.17,0.61,0.44,0.61,https://fbref.com/en/players/da001952/Gonzalo-Bergessio
2013,Fiorentina,Serie A,Stevan Jovetić,MNE,"FW,MF",22,1989,31,31,2509,27.9,13,5,12,1,2,3,0,0.47,0.18,0.65,0.43,0.61,https://fbref.com/en/players/f36c432f/Stevan-Jovetic
2014,Atalanta,Serie A,Germán Denis,ARG,FW,31,1981,37,36,3236,36,13,5,11,2,3,3,0,0.36,0.14,0.5,0.31,0.44,https://fbref.com/en/players/3b64f69d/German-Denis
2015,Lazio,Serie A,Miroslav Klose,GER,FW,36,1978,34,21,1833,20.4,13,5,13,0,0,5,0,0.64,0.25,0.88,0.64,0.88,https://fbref.com/en/players/5e36a0dd/Miroslav-Klose
2016,Empoli,Serie A,Massimo Maccarone,ITA,FW,35,1979,37,35,2745,30.5,13,5,12,1,1,4,0,0.43,0.16,0.59,0.39,0.56,https://fbref.com/en/players/1586379d/Massimo-Maccarone
2016,Fiorentina,Serie A,Josip Iličić,SVN,MF,27,1988,30,24,1907,21.2,13,5,6,7,7,2,0,0.61,0.24,0.85,0.28,0.52,https://fbref.com/en/players/68252d6d/Josip-Ilicic
2017,Liverpool,Premier League,Sadio Mané,SEN,FW,24,1992,27,26,2235,24.8,13,5,13,0,0,4,0,0.52,0.2,0.72,0.52,0.72,https://fbref.com/en/players/c691bfe2/Sadio-Mane
2019,Celta Vigo,La Liga,Maxi Gómez,URU,FW,21,1996,35,33,2960,32.9,13,5,12,1,1,6,1,0.4,0.15,0.55,0.36,0.52,https://fbref.com/en/players/4c2e9442/Maxi-Gomez
2010,Inter,Serie A,Samuel Eto'o,CMR,FW,28,1981,32,27,2495,27.7,12,5,10,2,2,5,0,0.43,0.18,0.61,0.36,0.54,https://fbref.com/en/players/06420c93/Samuel-Etoo
2010,Manchester Utd,Premier League,Dimitar Berbatov,BUL,FW,28,1981,33,24,2094,23.3,12,5,12,0,0,1,0,0.52,0.21,0.73,0.52,0.73,https://fbref.com/en/players/f5781978/Dimitar-Berbatov
2012,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",27,1984,24,18,1704,18.9,12,5,7,5,6,1,0,0.63,0.26,0.9,0.37,0.63,https://fbref.com/en/players/09586899/Arjen-Robben
2012,Marseille,Ligue 1,Loïc Rémy,FRA,FW,24,1987,29,27,2207,24.5,12,5,9,3,3,1,0,0.49,0.2,0.69,0.37,0.57,https://fbref.com/en/players/5c2da10f/Loic-Remy
2012,Real Sociedad,La Liga,Carlos Vela,MEX,"FW,MF",22,1989,35,28,2473,27.5,12,5,12,0,0,2,0,0.44,0.18,0.62,0.44,0.62,https://fbref.com/en/players/e0cd04e0/Carlos-Vela
2013,Inter,Serie A,Rodrigo Palacio,ARG,"FW,MF",30,1982,26,20,1973,21.9,12,5,12,0,0,3,0,0.55,0.23,0.78,0.55,0.78,https://fbref.com/en/players/8d8178ac/Rodrigo-Palacio
2014,Sampdoria,Serie A,Éder,ITA,FW,26,1986,33,30,2500,27.8,12,5,9,3,3,8,1,0.43,0.18,0.61,0.32,0.5,https://fbref.com/en/players/5a325298/Eder
2015,Lorient,Ligue 1,Jordan Ayew,GHA,"FW,MF",22,1991,31,29,2613,29,12,5,9,3,3,8,0,0.41,0.17,0.59,0.31,0.48,https://fbref.com/en/players/da052c14/Jordan-Ayew
2015,Manchester Utd,Premier League,Wayne Rooney,ENG,"FW,MF",28,1985,33,33,2873,31.9,12,5,11,1,2,5,1,0.38,0.16,0.53,0.34,0.5,https://fbref.com/en/players/f07be45a/Wayne-Rooney
2015,Valencia,La Liga,Daniel Parejo,ESP,MF,25,1989,34,33,2917,32.4,12,5,9,3,5,14,1,0.37,0.15,0.52,0.28,0.43,https://fbref.com/en/players/7460ca0d/Daniel-Parejo
2016,Rennes,Ligue 1,Ousmane Dembélé,FRA,"MF,FW",18,1997,26,22,1900,21.1,12,5,11,1,1,1,0,0.57,0.24,0.81,0.52,0.76,https://fbref.com/en/players/b19db005/Ousmane-Dembele
2017,Atlético Madrid,La Liga,Kévin Gameiro,FRA,FW,29,1987,31,21,1707,19,12,5,11,1,1,0,0,0.63,0.26,0.9,0.58,0.84,https://fbref.com/en/players/42276181/Kevin-Gameiro
2017,Nantes,Ligue 1,Emiliano Sala,ARG,FW,25,1990,34,29,2562,28.5,12,5,11,1,2,6,0,0.42,0.18,0.6,0.39,0.56,https://fbref.com/en/players/5d59e0df/Emiliano-Sala
2018,Real Sociedad,La Liga,Mikel Oyarzabal,ESP,"FW,MF",20,1997,35,31,2772,30.8,12,5,12,0,0,3,0,0.39,0.16,0.55,0.39,0.55,https://fbref.com/en/players/8c3c640c/Mikel-Oyarzabal
2019,Levante,La Liga,José Luis Morales,ESP,"FW,MF",31,1987,37,35,3195,35.5,12,5,9,3,5,7,0,0.34,0.14,0.48,0.25,0.39,https://fbref.com/en/players/4a478107/Jose-Luis-Morales
2021,Newcastle Utd,Premier League,Callum Wilson,ENG,FW,28,1992,26,23,2084,23.2,12,5,8,4,4,2,0,0.52,0.22,0.73,0.35,0.56,https://fbref.com/en/players/c596fcb0/Callum-Wilson
2010,Napoli,Serie A,Fabio Quagliarella,ITA,FW,26,1983,34,32,2836,31.5,11,5,11,0,1,7,1,0.35,0.16,0.51,0.35,0.51,https://fbref.com/en/players/ee4f2f3b/Fabio-Quagliarella
2011,Palermo,Serie A,Javier Pastore,ARG,MF,21,1989,35,34,2890,32.1,11,5,11,0,1,4,0,0.34,0.16,0.5,0.34,0.5,https://fbref.com/en/players/881ef58c/Javier-Pastore
2012,Chelsea,Premier League,Frank Lampard,ENG,MF,33,1978,30,26,2248,25,11,5,8,3,4,5,0,0.44,0.2,0.64,0.32,0.52,https://fbref.com/en/players/268df6b1/Frank-Lampard
2012,Roma,Serie A,Dani Osvaldo,ITA,FW,25,1986,26,24,2087,23.2,11,5,11,0,0,3,2,0.47,0.22,0.69,0.47,0.69,https://fbref.com/en/players/3f0eba4f/Dani-Osvaldo
2013,Everton,Premier League,Marouane Fellaini,BEL,MF,24,1987,31,31,2783,30.9,11,5,11,0,0,9,0,0.36,0.16,0.52,0.36,0.52,https://fbref.com/en/players/87575fd9/Marouane-Fellaini
2013,Werder Bremen,Bundesliga,Nils Petersen,GER,FW,23,1988,34,30,2736,30.4,11,5,11,0,0,3,0,0.36,0.16,0.53,0.36,0.53,https://fbref.com/en/players/f93e6e94/Nils-Petersen
2013,Wigan Athletic,Premier League,Arouna Koné,CIV,FW,28,1983,34,32,2930,32.6,11,5,11,0,0,0,0,0.34,0.15,0.49,0.34,0.49,https://fbref.com/en/players/f9a72ca4/Arouna-Kone
2014,Hoffenheim,Bundesliga,Sejad Salihović,BIH,"DF,MF",28,1984,28,22,1815,20.2,11,5,3,8,10,3,1,0.55,0.25,0.79,0.15,0.4,https://fbref.com/en/players/a4e14205/Sejad-Salihovic
2014,Hoffenheim,Bundesliga,Kevin Volland,GER,"FW,MF",21,1992,33,32,2871,31.9,11,5,11,0,0,4,0,0.34,0.16,0.5,0.34,0.5,https://fbref.com/en/players/64f69877/Kevin-Volland
2014,Juventus,Serie A,Arturo Vidal,CHI,MF,26,1987,32,28,2435,27.1,11,5,9,2,2,8,0,0.41,0.18,0.59,0.33,0.52,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
2015,Tottenham,Premier League,Nacer Chadli,BEL,"FW,MF",24,1989,35,28,2406,26.7,11,5,11,0,0,3,0,0.41,0.19,0.6,0.41,0.6,https://fbref.com/en/players/5b54bf3b/Nacer-Chadli
2015,Valencia,La Liga,Paco Alcácer,ESP,FW,20,1993,32,26,2155,23.9,11,5,11,0,0,2,1,0.46,0.21,0.67,0.46,0.67,https://fbref.com/en/players/a7a9d95a/Paco-Alcacer
2016,Newcastle Utd,Premier League,Georginio Wijnaldum,NED,MF,24,1990,38,36,3163,35.1,11,5,10,1,1,1,0,0.31,0.14,0.46,0.28,0.43,https://fbref.com/en/players/eb58eef0/Georginio-Wijnaldum
2017,Real Madrid,La Liga,Karim Benzema,FRA,FW,28,1987,29,23,1903,21.1,11,5,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76,https://fbref.com/en/players/70d74ece/Karim-Benzema
2017,Sampdoria,Serie A,Luis Muriel,COL,FW,25,1991,31,25,2246,25,11,5,7,4,4,4,1,0.44,0.2,0.64,0.28,0.48,https://fbref.com/en/players/eb2fe5b6/Luis-Muriel
2017,Sevilla,La Liga,Wissam Ben Yedder,FRA,FW,25,1990,31,20,1661,18.5,11,5,10,1,1,0,0,0.6,0.27,0.87,0.54,0.81,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder
2018,Girona,La Liga,Portu,ESP,"FW,MF",25,1992,37,35,2997,33.3,11,5,11,0,0,4,0,0.33,0.15,0.48,0.33,0.48,https://fbref.com/en/players/1bda5842/Portu
2019,Hertha BSC,Bundesliga,Ondrej Duda,SVK,MF,23,1994,32,30,2563,28.5,11,5,11,0,0,7,0,0.39,0.18,0.56,0.39,0.56,https://fbref.com/en/players/79ca3e23/Ondrej-Duda
2019,Real Sociedad,La Liga,Willian José,BRA,FW,26,1991,31,28,2367,26.3,11,5,6,5,7,5,1,0.42,0.19,0.61,0.23,0.42,https://fbref.com/en/players/d87e2cae/Willian-Jose
2019,Toulouse,Ligue 1,Max Gradel,CIV,"FW,MF",30,1987,36,36,3240,36,11,5,7,4,8,6,0,0.31,0.14,0.44,0.19,0.33,https://fbref.com/en/players/c5a500ca/Max-Gradel
2020,Alavés,La Liga,Lucas Pérez,ESP,FW,30,1988,34,29,2496,27.7,11,5,6,5,5,4,0,0.4,0.18,0.58,0.22,0.4,https://fbref.com/en/players/a300ac7e/Lucas-Perez
2020,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",30,1989,19,18,1495,16.6,11,5,10,1,1,1,0,0.66,0.3,0.96,0.6,0.9,https://fbref.com/en/players/36a3ff67/Marco-Reus
2021,Lens,Ligue 1,Gaël Kakuta,COD,"MF,FW",29,1991,35,30,2394,26.6,11,5,4,7,9,3,0,0.41,0.19,0.6,0.15,0.34,https://fbref.com/en/players/5b1bf5e3/Gael-Kakuta
2021,Sassuolo,Serie A,Francesco Caputo,ITA,FW,32,1987,25,19,1697,18.9,11,5,8,3,3,1,0,0.58,0.27,0.85,0.42,0.69,https://fbref.com/en/players/5bd72174/Francesco-Caputo
2021,Union Berlin,Bundesliga,Max Kruse,GER,"FW,MF",32,1988,22,19,1629,18.1,11,5,6,5,6,0,0,0.61,0.28,0.88,0.33,0.61,https://fbref.com/en/players/f9446dcd/Max-Kruse
2011,Real Madrid,La Liga,Gonzalo Higuaín,ARG,"FW,MF",22,1987,17,16,1285,14.3,10,5,10,0,0,1,0,0.7,0.35,1.05,0.7,1.05,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain
2012,Werder Bremen,Bundesliga,Markus Rosenberg,SWE,FW,28,1982,33,26,2362,26.2,10,5,10,0,0,3,0,0.38,0.19,0.57,0.38,0.57,https://fbref.com/en/players/5faa73aa/Markus-Rosenberg
2013,Barcelona,La Liga,David Villa,ESP,"FW,MF",30,1981,28,17,1414,15.7,10,5,10,0,1,1,0,0.64,0.32,0.95,0.64,0.95,https://fbref.com/en/players/ade08a67/David-Villa
2015,Everton,Premier League,Romelu Lukaku,BEL,FW,21,1993,36,32,2870,31.9,10,5,8,2,2,1,0,0.31,0.16,0.47,0.25,0.41,https://fbref.com/en/players/5eae500a/Romelu-Lukaku
2015,Rennes,Ligue 1,Paul-Georges Ntep,CMR,"FW,MF",22,1992,35,29,2691,29.9,10,5,10,0,1,5,0,0.33,0.17,0.5,0.33,0.5,https://fbref.com/en/players/81aeb1dd/Paul-Georges-Ntep
2017,Eibar,La Liga,Pedro León,ESP,MF,29,1986,37,34,3004,33.4,10,5,9,1,3,6,0,0.3,0.15,0.45,0.27,0.42,https://fbref.com/en/players/d66b9872/Pedro-Leon
2018,Hoffenheim,Bundesliga,Serge Gnabry,GER,"FW,DF",22,1995,22,20,1507,16.7,10,5,10,0,1,0,0,0.6,0.3,0.9,0.6,0.9,https://fbref.com/en/players/88e357ef/Serge-Gnabry
2018,M'Gladbach,Bundesliga,Thorgan Hazard,BEL,"MF,FW",24,1993,34,33,2939,32.7,10,5,5,5,6,1,0,0.31,0.15,0.46,0.15,0.31,https://fbref.com/en/players/50871bcc/Thorgan-Hazard
2018,Torino,Serie A,Andrea Belotti,ITA,FW,23,1993,32,29,2683,29.8,10,5,10,0,2,2,0,0.34,0.17,0.5,0.34,0.5,https://fbref.com/en/players/d705ba44/Andrea-Belotti
2019,Bayern Munich,Bundesliga,Serge Gnabry,GER,"FW,MF",23,1995,30,21,1762,19.6,10,5,10,0,0,0,0,0.51,0.26,0.77,0.51,0.77,https://fbref.com/en/players/88e357ef/Serge-Gnabry
2019,Crystal Palace,Premier League,Wilfried Zaha,CIV,"FW,MF",25,1992,34,34,3036,33.7,10,5,10,0,0,9,1,0.3,0.15,0.44,0.3,0.44,https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha
2019,Watford,Premier League,Gerard Deulofeu,ESP,FW,24,1994,30,26,2066,23,10,5,10,0,0,3,0,0.44,0.22,0.65,0.44,0.65,https://fbref.com/en/players/39583cfd/Gerard-Deulofeu
2020,Milan,Serie A,Zlatan Ibrahimović,SWE,FW,37,1981,18,16,1362,15.1,10,5,8,2,3,1,0,0.66,0.33,0.99,0.53,0.86,https://fbref.com/en/players/4cde5509/Zlatan-Ibrahimovic
2021,West Ham,Premier League,Michail Antonio,JAM,FW,30,1990,26,24,1974,21.9,10,5,10,0,0,3,0,0.46,0.23,0.68,0.46,0.68,https://fbref.com/en/players/ac05f970/Michail-Antonio
2010,Inter,Serie A,Mario Balotelli,ITA,FW,18,1990,26,13,1390,15.4,9,5,9,0,0,7,0,0.58,0.32,0.91,0.58,0.91,https://fbref.com/en/players/8ff07990/Mario-Balotelli
2011,Brest,Ligue 1,Bruno Grougi,FRA,MF,27,1983,33,25,2299,25.5,9,5,6,3,4,1,0,0.35,0.2,0.55,0.23,0.43,https://fbref.com/en/players/4aa7be38/Bruno-Grougi
2011,Getafe,La Liga,Manu del Moral,ESP,FW,26,1984,30,28,2411,26.8,9,5,7,2,2,3,1,0.34,0.19,0.52,0.26,0.45,https://fbref.com/en/players/1026f88d/Manu-del-Moral
2011,Sporting Gijón,La Liga,Diego Castro,ESP,"FW,MF",28,1982,28,26,2346,26.1,9,5,4,5,5,3,0,0.35,0.19,0.54,0.15,0.35,https://fbref.com/en/players/3ddc0a25/Diego-Castro
2011,Stuttgart,Bundesliga,Martin Harnik,AUT,"FW,MF",23,1987,32,17,1877,20.9,9,5,9,0,0,7,0,0.43,0.24,0.67,0.43,0.67,https://fbref.com/en/players/99b7584f/Martin-Harnik
2011,Wigan Athletic,Premier League,Charles N'Zogbia,FRA,"DF,FW",24,1986,34,32,2784,30.9,9,5,9,0,0,2,1,0.29,0.16,0.45,0.29,0.45,https://fbref.com/en/players/4e31f3e2/Charles-NZogbia
2012,Lyon,Ligue 1,Jimmy Briand,FRA,"FW,MF",25,1985,37,30,2508,27.9,9,5,9,0,0,3,0,0.32,0.18,0.5,0.32,0.5,https://fbref.com/en/players/f83c8d6c/Jimmy-Briand
2012,Málaga,La Liga,Santi Cazorla,ESP,MF,26,1984,38,38,3226,35.8,9,5,9,0,1,2,0,0.25,0.14,0.39,0.25,0.39,https://fbref.com/en/players/e2e9c250/Santi-Cazorla
2012,Montpellier,Ligue 1,Souleymane Camara,SEN,FW,28,1982,33,19,1936,21.5,9,5,9,0,1,1,0,0.42,0.23,0.65,0.42,0.65,https://fbref.com/en/players/c58270f8/Souleymane-Camara
2014,Liverpool,Premier League,Raheem Sterling,ENG,"FW,MF",18,1994,33,24,2218,24.6,9,5,9,0,0,3,0,0.37,0.2,0.57,0.37,0.57,https://fbref.com/en/players/b400bde0/Raheem-Sterling
