Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2013,Werder Bremen,Bundesliga,Kevin De Bruyne,BEL,"FW,MF",21,1991,33,33,2965,32.9,10,9,10,0,0,4,0,0.3,0.27,0.58,0.3,0.58,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
2016,Tottenham,Premier League,Dele Alli,ENG,MF,19,1996,33,28,2470,27.4,10,9,10,0,0,7,0,0.36,0.33,0.69,0.36,0.69,https://fbref.com/en/players/cea4ee8f/Dele-Alli
2017,Real Madrid,La Liga,Isco,ESP,"MF,FW",24,1992,30,18,1634,18.2,10,9,10,0,0,4,0,0.55,0.5,1.05,0.55,1.05,https://fbref.com/en/players/a0b4bb3e/Isco
2018,Napoli,Serie A,José Callejón,ESP,FW,30,1987,38,38,3238,36,10,9,10,0,0,3,0,0.28,0.25,0.53,0.28,0.53,https://fbref.com/en/players/78841da9/Jose-Callejon
2013,Hannover 96,Bundesliga,Szabolcs Huszti,HUN,MF,29,1983,21,19,1649,18.3,9,9,6,3,3,5,1,0.49,0.49,0.98,0.33,0.82,https://fbref.com/en/players/9916979a/Szabolcs-Huszti
2013,Liverpool,Premier League,Steven Gerrard,ENG,MF,32,1980,36,36,3221,35.8,9,9,5,4,5,5,0,0.25,0.25,0.5,0.14,0.39,https://fbref.com/en/players/caeb5442/Steven-Gerrard
2014,Dortmund,Bundesliga,Henrikh Mkhitaryan,ARM,"FW,MF",24,1989,31,29,2435,27.1,9,9,9,0,0,6,0,0.33,0.33,0.67,0.33,0.67,https://fbref.com/en/players/dd0daf32/Henrikh-Mkhitaryan
2017,Chelsea,Premier League,Pedro,ESP,"FW,MF",29,1987,35,26,2140,23.8,9,9,9,0,0,6,0,0.38,0.38,0.76,0.38,0.76,https://fbref.com/en/players/3ca7254a/Pedro
2019,Udinese,Serie A,Rodrigo De Paul,ARG,"MF,FW",24,1994,36,36,3189,35.4,9,9,6,3,6,7,0,0.25,0.25,0.51,0.17,0.42,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
2020,Milan,Serie A,Hakan Çalhanoğlu,TUR,"MF,FW",25,1994,35,34,2704,30,9,9,8,1,1,6,0,0.3,0.3,0.6,0.27,0.57,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu
2021,Udinese,Serie A,Rodrigo De Paul,ARG,MF,26,1994,36,36,3201,35.6,9,9,6,3,3,5,2,0.25,0.25,0.51,0.17,0.42,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
2013,Barcelona,La Liga,Alexis Sánchez,CHI,"FW,MF",23,1988,29,18,1706,19,8,9,8,0,0,4,0,0.42,0.47,0.9,0.42,0.9,https://fbref.com/en/players/2c0f8e9e/Alexis-Sanchez
2013,Sevilla,La Liga,Ivan Rakitić,CRO,MF,24,1988,34,34,2948,32.8,8,9,7,1,2,10,2,0.24,0.27,0.52,0.21,0.49,https://fbref.com/en/players/89f951b5/Ivan-Rakitic
2013,Torino,Serie A,Alessio Cerci,ITA,"FW,MF",25,1987,35,32,2728,30.3,8,9,7,1,1,4,0,0.26,0.3,0.56,0.23,0.53,https://fbref.com/en/players/5370cba7/Alessio-Cerci
2021,Lazio,Serie A,Sergej Milinković-Savić,SRB,MF,25,1995,32,32,2746,30.5,8,9,8,0,0,4,0,0.26,0.29,0.56,0.26,0.56,https://fbref.com/en/players/4e6dbac4/Sergej-Milinkovic-Savic
2011,Real Sociedad,La Liga,Xabi Prieto,ESP,MF,26,1983,37,36,3235,35.9,7,9,3,4,4,6,0,0.19,0.25,0.45,0.08,0.33,https://fbref.com/en/players/d054d8b0/Xabi-Prieto
2012,Sunderland,Premier League,Stéphane Sessègnon,BEN,"FW,MF",27,1984,36,36,3126,34.7,7,9,7,0,0,3,1,0.2,0.26,0.46,0.2,0.46,https://fbref.com/en/players/35c5f9b1/Stephane-Sessegnon
